1.00,Soo cool read the last line may jujube!!!!,The Artist 
2.00,Dming version sa Egyptian Creation Story!!!,The Artist 
3.00,5% marunong na mag guitara :),The Artist 
4.00,need : shoes!!! :0,The Consumer 
5.00,wanna get it naaaaaaaaaaa,The Consumer 
6.00,need a dress..... stressed out.... damnit!,The Consumer 
7.00,i am eagerrRRRR to win the ksh tees!!!!!!!!,The Consumer 
8.00,share!! i want one so cute!,The Consumer 
9.00,hahaha lipbalm ......,The Consumer 
10.00,Bro hindi..ganda talaga ng Hilux... Jm Gonzales Raphael Josef Ang Chua,The Consumer 
11.00,Micro-filter adapter.... tsk.@_@ Jan Kristoffer Cheng Kuw Sia Wap Salonga Ian Kevin Dela Cruz wala padin stock.... taee,The Consumer 
12.00,Angeline J. Tan donghae,The Fangirl/Fanboy
13.00,to nami with jacqoo!,The Fangirl/Fanboy
14.00,minho? Francesm Flores,The Fangirl/Fanboy
15.00,dream high!!!!! i wanna buy the box lng!!! Angeline J. Tan Kara Ko Cedric Choa Trisha Siytaoco,The Fangirl/Fanboy
16.00,psy in myeongdong :)),The Fangirl/Fanboy
17.00,kirin!!!! instant karma!!! dream high :),The Fangirl/Fanboy
18.00,Jacqueline Yap was here! (nami),The Fangirl/Fanboy
19.00,go kim! :),The Fangirl/Fanboy
20.00,finally found hakuna matata! :),The Fangirl/Fanboy
21.00,Francesm Flores Davison Engay shinee bagong music na! dazzling girl... ganda :),The Fangirl/Fanboy
22.00,watching golden time :)),The Fangirl/Fanboy
