1,The Foodie,food_describe,"Person, Food, Description, Organization, Type"
2,The Foodie,food_activity,"Person, Food, Action, Organization, Location, Tagged_Friends, Type, Date, Time"
3,The Foodie,food_sentiment,"Person, Food, Sentiment, Sentiment_Class, Type, Date, Time"
4,The Sports Fanatic,sport_partof,"Person, Sport, Team,"
5,The Sports Fanatic,sport_fan_activity,"Person, Sport, FanOf, Activity, Event, Date, Time"
6,The Sports Fanatic,sport_fan_achievement,"Person, Sport, FanOf, Achievement, Date, Time"
7,The Sports Fanatic,sport_play,"Person, Sport, Location, Tagged_Friends, Date, Time"
8,The Sports Fanatic,sport_sentiment,"Person, Sport, Sentiment, Sentiment_Class, Date, Time"
9,The Sports Fanatic,sport_achievement,"Person, Sport, Achievement, Date, Time"
10,The Fangirl/Fanboy,fan_describe,"Person, FanOf, Description"
11,The Fangirl/Fanboy,fan_activity,"Person, FanOf, Activity, Location, Tagged_Friends, Type, Date, Time"
12,The Fangirl/Fanboy,fan_sentiment,"Person, FanOf, Sentiment, Sentiment_Class, Date, Time"
13,The Gamer,gamer_play,"Person, Game, Type, Date, Time"
14,The Gamer,gamer_achievement,"Person, Game, Achievement, Date, Time"
15,The Gamer,gamer_fan_achievement,"Person, Game, FanOf, Achievement, Date, Time"
16,The Gamer,gamer_sentiment,"Person, Game, Sentiment, Sentiment_Class, Date, Time"
17,The Gamer,gamer_activity,"Person, Game, Activity, Location, Tagged_Friends, Date, Time"
18,The Fangirl/Fanboy,fan_event,"Person, FanOf, Activity, Event, Location, Tagged_Friends, Type, Date, Time"
19,The Gamer,gamer_event,"Person, Game, Activity, Event, Location, Tagged_Friends, Date, Time"
20,Likes,likes,"Page, User_Pref"
21,Event,event,"Name, Status, User_Pref"
